;Country;League;Date;HomeTeam;AwayTeam;FTHG;FTAG;FTR;B365H;B365D;B365A;B365>2.5;B365<2.5
20;England;England Premiere League;2021/08/28;Man City;Arsenal;5;0;H;1,25;6;12;1,57;2,37
26;England;England Premiere League;2021/08/28;Liverpool;Chelsea;1;1;D;2,45;3,3;2,9;2;1,8
25;England;England Premiere League;2021/08/28;West Ham;Crystal Palace;2;2;D;1,55;4;6,5;1,9;1,9
24;England;England Premiere League;2021/08/28;Norwich;Leicester;1;2;A;4,5;3,5;1,85;1,8;2
23;England;England Premiere League;2021/08/28;Newcastle;Southampton;2;2;D;2,5;3,4;2,8;1,85;2,05
22;England;England Premiere League;2021/08/28;Brighton;Everton;0;2;A;2,3;3,2;3,3;2,2;1,66
21;England;England Premiere League;2021/08/28;Aston Villa;Brentford;1;1;D;1,95;3,6;3,8;1,9;1,9
29;England;England Premiere League;2021/08/29;Wolves;Man United;0;1;A;5;3,5;1,75;2;1,8
28;England;England Premiere League;2021/08/29;Tottenham;Watford;1;0;H;1,36;4,75;9;1,8;2
27;England;England Premiere League;2021/08/29;Burnley;Leeds;1;1;D;3,1;3,5;2,25;1,72;2,1
39;England;England Premiere League;2021/09/13;Everton;Burnley;3;1;H;1,7;3,75;5;2;1,8
40;England;England Premiere League;2021/09/17;Newcastle;Leeds;1;1;D;3;3,6;2,3;1,61;2,3
46;England;England Premiere League;2021/09/18;Aston Villa;Everton;3;0;H;2,4;3,3;3;2;1,8
45;England;England Premiere League;2021/09/18;Norwich;Watford;1;3;A;2,15;3,3;3,5;2,1;1,72
44;England;England Premiere League;2021/09/18;Man City;Southampton;0;0;D;1,12;9,5;17;1,36;3,2
43;England;England Premiere League;2021/09/18;Liverpool;Crystal Palace;3;0;H;1,2;7;13;1,5;2,62
42;England;England Premiere League;2021/09/18;Burnley;Arsenal;0;1;A;3,8;3,6;1,95;2;1,8
41;England;England Premiere League;2021/09/18;Wolves;Brentford;0;2;A;1,83;3,25;5;2,5;1,53
49;England;England Premiere League;2021/09/19;Tottenham;Chelsea;0;3;A;5;3,8;1,7;2;1,8
47;England;England Premiere League;2021/09/19;Brighton;Leicester;2;1;H;2,7;3,2;2,75;2,1;1,72
48;England;England Premiere League;2021/09/19;West Ham;Man United;1;2;A;4,33;4;1,75;1,66;2,2
53;England;England Premiere League;2021/09/25;Leeds;West Ham;1;2;A;3;3,6;2,25;1,57;2,37
50;England;England Premiere League;2021/09/25;Chelsea;Man City;0;1;A;2,62;3,2;2,75;2,1;1,72
51;England;England Premiere League;2021/09/25;Man United;Aston Villa;0;1;A;1,36;5,25;8;1,57;2,37
52;England;England Premiere League;2021/09/25;Everton;Norwich;2;0;H;1,61;3,8;5,75;1,9;1,9
54;England;England Premiere League;2021/09/25;Leicester;Burnley;2;2;D;1,57;4;6;1,9;1,9
55;England;England Premiere League;2021/09/25;Watford;Newcastle;1;1;D;2,2;3,4;3,3;2;1,8
56;England;England Premiere League;2021/09/25;Brentford;Liverpool;3;3;D;7;4,5;1,45;1,72;2,1
57;England;England Premiere League;2021/09/26;Southampton;Wolves;0;1;A;2,62;3,2;2,8;2,1;1,72
58;England;England Premiere League;2021/09/26;Arsenal;Tottenham;3;1;H;2,15;3,3;3,5;2;1,8
59;England;England Premiere League;2021/09/27;Crystal Palace;Brighton;1;1;D;3,1;3,2;2,45;2,3;1,61
149;England;England Premiere League;2021/10/12;Brentford;Watford;2;1;H;2,25;3,3;3,3;2,01;1,89
71;England;England Premiere League;2021/10/16;Aston Villa;Wolves;2;3;A;2,15;3,25;3,5;2,1;1,72
70;England;England Premiere League;2021/10/16;Watford;Liverpool;0;5;A;8,5;5,5;1,33;1,57;2,37
73;England;England Premiere League;2021/10/16;Man City;Burnley;2;0;H;1,12;9;19;1,36;3,2
74;England;England Premiere League;2021/10/16;Norwich;Brighton;0;0;D;3,6;3,4;2,1;2,1;1,72
75;England;England Premiere League;2021/10/16;Southampton;Leeds;1;0;H;2,3;3,5;3;1,72;2,1
76;England;England Premiere League;2021/10/16;Brentford;Chelsea;0;1;A;6,5;3,8;1,57;2;1,8
72;England;England Premiere League;2021/10/16;Leicester;Man United;4;2;H;3,5;3,6;2,05;1,72;2,1
77;England;England Premiere League;2021/10/17;Everton;West Ham;0;1;A;2,5;3,4;2,8;1,9;1,9
78;England;England Premiere League;2021/10/17;Newcastle;Tottenham;2;3;A;3,5;3,6;2,05;1,8;2
79;England;England Premiere League;2021/10/18;Arsenal;Crystal Palace;2;2;D;1,6;3,8;6;1,97;1,93
80;England;England Premiere League;2021/10/22;Arsenal;Aston Villa;3;1;H;1,83;3,75;4,2;1,72;2,1
86;England;England Premiere League;2021/10/23;Brighton;Man City;1;4;A;8;4,75;1,4;1,8;2
85;England;England Premiere League;2021/10/23;Southampton;Burnley;2;2;D;1,95;3,5;3,9;1,9;1,9
84;England;England Premiere League;2021/10/23;Leeds;Wolves;1;1;D;2,4;3,4;2,87;1,9;1,9
83;England;England Premiere League;2021/10/23;Everton;Watford;2;5;A;1,65;3,8;5,5;2;1,8
82;England;England Premiere League;2021/10/23;Crystal Palace;Newcastle;1;1;D;1,9;3,6;4;1,9;1,9
81;England;England Premiere League;2021/10/23;Chelsea;Norwich;7;0;H;1,18;7;15;1,66;2,2
88;England;England Premiere League;2021/10/24;West Ham;Tottenham;1;0;H;2,3;3,5;3;1,72;2,1
89;England;England Premiere League;2021/10/24;Man United;Liverpool;0;5;A;3,1;3,6;2,2;1,53;2,5
87;England;England Premiere League;2021/10/24;Brentford;Leicester;1;2;A;2,62;3,3;2,7;1,9;1,9
96;England;England Premiere League;2021/10/30;Tottenham;Man United;0;3;A;2,87;3,6;2,37;1,72;2,1
94;England;England Premiere League;2021/10/30;Newcastle;Chelsea;0;3;A;8,5;5;1,36;1,72;2,1
93;England;England Premiere League;2021/10/30;Man City;Crystal Palace;0;2;A;1,14;8;19;1,44;2,75
92;England;England Premiere League;2021/10/30;Liverpool;Brighton;2;2;D;1,22;6,5;13;1,53;2,5
91;England;England Premiere League;2021/10/30;Burnley;Brentford;3;1;H;2,6;3,3;2,75;2,2;1,66
90;England;England Premiere League;2021/10/30;Leicester;Arsenal;0;2;A;2,4;3,5;2,87;1,8;2
95;England;England Premiere League;2021/10/30;Watford;Southampton;0;1;A;3,2;3,3;2,3;1,9;1,9
97;England;England Premiere League;2021/10/31;Norwich;Leeds;1;2;A;3,4;3,5;2,1;1,72;2,1
98;England;England Premiere League;2021/10/31;Aston Villa;West Ham;1;4;A;2,8;3,5;2,45;1,8;2
35;England;England Premiere League;2021/11/09;Southampton;West Ham;0;0;D;2,9;3,5;2,4;1,72;2,1
34;England;England Premiere League;2021/11/09;Man United;Newcastle;4;1;H;1,18;7,5;15;1,44;2,75
33;England;England Premiere League;2021/11/09;Leicester;Man City;0;1;A;6;4;1,57;1,72;2,1
32;England;England Premiere League;2021/11/09;Brentford;Brighton;0;1;A;2,8;3,2;2,62;2,5;1,53
31;England;England Premiere League;2021/11/09;Arsenal;Norwich;1;0;H;1,5;4,6;6;1,72;2,1
30;England;England Premiere League;2021/11/09;Crystal Palace;Tottenham;3;0;H;4,2;3,5;1,9;2,1;1,72
37;England;England Premiere League;2021/11/09;Chelsea;Aston Villa;3;0;H;1,28;5,5;11;1,8;2
36;England;England Premiere League;2021/11/09;Watford;Wolves;0;2;A;3,4;3,2;2,25;2,3;1,61
152;England;England Premiere League;2021/11/12;Chelsea;Leeds;3;2;H;1,25;5,75;12;1,57;2,37
154;England;England Premiere League;2021/11/12;Norwich;Man United;0;1;A;7;4,5;1,45;1,72;2,1
153;England;England Premiere League;2021/11/12;Liverpool;Aston Villa;1;0;H;1,2;7;13;1,4;3
151;England;England Premiere League;2021/11/12;Arsenal;Southampton;3;0;H;1,61;4;5,5;1,8;2
150;England;England Premiere League;2021/11/12;Man City;Wolves;1;0;H;1,14;8;19;1,53;2,5
113;England;England Premiere League;2021/11/20;Newcastle;Brentford;3;3;D;2,62;3,4;2,7;2;1,9
114;England;England Premiere League;2021/11/20;Norwich;Southampton;2;1;H;3,6;3,5;2,05;2,03;1,87
115;England;England Premiere League;2021/11/20;Watford;Man United;4;1;H;6,5;4,75;1,45;1,66;2,2
116;England;England Premiere League;2021/11/20;Wolves;West Ham;1;0;H;3;3,25;2,4;2;1,8
117;England;England Premiere League;2021/11/20;Liverpool;Arsenal;4;0;H;1,45;4,75;6,5;1,5;2,62
110;England;England Premiere League;2021/11/20;Leicester;Chelsea;0;3;A;4,75;3,75;1,75;2,03;1,87
111;England;England Premiere League;2021/11/20;Aston Villa;Brighton;2;0;H;2,45;3,3;2,9;2,1;1,72
112;England;England Premiere League;2021/11/20;Burnley;Crystal Palace;3;3;D;2,7;3,2;2,7;2,2;1,66
118;England;England Premiere League;2021/11/21;Man City;Everton;3;0;H;1,14;8;19;1,5;2,62
119;England;England Premiere League;2021/11/21;Tottenham;Leeds;2;1;H;1,7;4,2;4,5;1,72;2,1
120;England;England Premiere League;2021/11/27;Arsenal;Newcastle;2;0;H;1,44;4,75;7;1,61;2,3
121;England;England Premiere League;2021/11/27;Crystal Palace;Aston Villa;1;2;A;2,2;3,4;3,3;2,07;1,86
122;England;England Premiere League;2021/11/27;Liverpool;Southampton;4;0;H;1,28;6;9;1,4;3
123;England;England Premiere League;2021/11/27;Norwich;Wolves;0;0;D;3,5;3,3;2,15;2,3;1,61
124;England;England Premiere League;2021/11/27;Brighton;Leeds;0;0;D;2,05;3,4;3,75;1,98;1,95
127;England;England Premiere League;2021/11/28;Man City;West Ham;2;1;H;1,28;5,75;10;1,5;2,62
128;England;England Premiere League;2021/11/28;Chelsea;Man United;1;1;D;1,57;4;6;1,8;2
125;England;England Premiere League;2021/11/28;Brentford;Everton;1;0;H;2,25;3,2;3,4;2,1;1,72
