;Country;League;Date;HomeTeam;AwayTeam;FTHG;FTAG;FTR;B365H;B365D;B365A;B365>2.5;B365<2.5
245;England;England Premiere League;2022/02/23;Watford;Crystal Palace;1;4;A;3,1;3,3;2,3;2,2;1,66
247;England;England Premiere League;2022/02/24;Arsenal;Wolves;2;1;H;1,65;3,8;5,5;2,2;1,66
248;England;England Premiere League;2022/02/25;Southampton;Norwich;2;0;H;1,53;4,33;6;1,72;2,1
254;England;England Premiere League;2022/02/26;Everton;Man City;0;1;A;10;5,75;1,28;1,57;2,37
249;England;England Premiere League;2022/02/26;Leeds;Tottenham;0;4;A;4,2;3,6;1,85;1,61;2,3
252;England;England Premiere League;2022/02/26;Man United;Watford;0;0;D;1,3;5,5;9,5;1,61;2,3
251;England;England Premiere League;2022/02/26;Crystal Palace;Burnley;1;1;D;1,9;3,6;4;2,2;1,66
250;England;England Premiere League;2022/02/26;Brentford;Newcastle;0;2;A;2,5;3,2;3;2,3;1,61
253;England;England Premiere League;2022/02/26;Brighton;Aston Villa;0;2;A;2,2;3,3;3,5;2,1;1,72
255;England;England Premiere League;2022/02/27;West Ham;Wolves;1;0;H;2,05;3,3;3,8;2,3;1,61
190;England;England Premiere League;2022/03/01;Man United;Wolves;0;1;A;1,53;4,33;6;1,98;1,92
295;England;England Premiere League;2022/03/04;West Ham;Everton;2;1;H;1,75;3,8;4,5;2;1,9
296;England;England Premiere League;2022/03/04;Tottenham;Newcastle;5;1;H;1,5;4,33;6,5;1,8;2
53;England;England Premiere League;2022/03/09;Newcastle;Crystal Palace;0;0;D;2;3,5;3,75;2;1,8
50;England;England Premiere League;2022/03/09;Everton;Liverpool;0;0;D;7;4,75;1,4;1,57;2,37
51;England;England Premiere League;2022/03/09;Brentford;Leeds;5;2;H;2,1;3,5;3,4;1,72;2,1
52;England;England Premiere League;2022/03/09;Chelsea;West Ham;2;1;H;1,55;4,5;5,5;1,72;2,1
54;England;England Premiere League;2022/03/09;Nott'm Forest;Bournemouth;2;3;A;1,95;3,5;3,8;2,1;1,72
57;England;England Premiere League;2022/03/09;Aston Villa;Man City;1;1;D;8;5,5;1,33;1,53;2,5
56;England;England Premiere League;2022/03/09;Wolves;Southampton;1;0;H;2,2;3,4;3,25;2,04;1,86
55;England;England Premiere League;2022/03/09;Tottenham;Fulham;2;1;H;1,5;4,5;6,5;1,61;2,3
76;England;England Premiere League;2022/03/10;Leicester;Nott'm Forest;4;0;H;1,75;4;4,33;1,66;2,2
279;England;England Premiere League;2022/03/13;Arsenal;Leicester;2;0;H;1,5;4,5;6;1,61;2,3
278;England;England Premiere League;2022/03/13;West Ham;Aston Villa;2;1;H;2,25;3,3;3,3;2,01;1,89
274;England;England Premiere League;2022/03/13;Chelsea;Newcastle;1;0;H;1,3;5,25;11;1,72;2,1
275;England;England Premiere League;2022/03/13;Everton;Wolves;0;1;A;2,3;3,2;3,3;2,3;1,61
276;England;England Premiere League;2022/03/13;Leeds;Norwich;2;1;H;1,55;4,2;5,75;1,66;2,2
277;England;England Premiere League;2022/03/13;Southampton;Watford;1;2;A;1,6;4,2;5,25;1,8;2
280;England;England Premiere League;2022/03/14;Crystal Palace;Man City;0;0;D;10;5;1,33;1,72;2,1
281;England;England Premiere League;2022/03/16;Brighton;Tottenham;0;2;A;3,3;3,3;2,25;2;1,8
282;England;England Premiere League;2022/03/16;Arsenal;Liverpool;0;2;A;3,5;4;1,9;1,72;2,1
283;England;England Premiere League;2022/03/17;Everton;Newcastle;1;0;H;2,4;3,25;3,1;1,9;2
284;England;England Premiere League;2022/03/18;Wolves;Leeds;2;3;A;2,1;3,5;3,4;1,99;1,91
285;England;England Premiere League;2022/03/19;Aston Villa;Arsenal;0;1;A;3;3,3;2,4;1,92;1,98
286;England;England Premiere League;2022/03/20;Leicester;Brentford;2;1;H;2,15;3,4;3,4;1,91;1,99
287;England;England Premiere League;2022/03/20;Tottenham;West Ham;3;1;H;1,72;3,8;4,75;1,72;2,1
297;England;England Premiere League;2022/04/04;Crystal Palace;Arsenal;3;0;H;4;3,4;1,95;2,1;1,72
58;England;England Premiere League;2022/04/09;Brighton;Leicester;5;2;H;1,83;3,5;4,5;2,01;1,89
59;England;England Premiere League;2022/04/09;Man United;Arsenal;3;1;H;2,5;3,5;2,7;1,66;2,2
311;England;England Premiere League;2022/04/16;Southampton;Arsenal;1;0;H;3,8;3,6;1,95;1,9;2
312;England;England Premiere League;2022/04/16;Watford;Brentford;1;2;A;2,7;3,3;2,55;2,1;1,72
309;England;England Premiere League;2022/04/16;Tottenham;Brighton;0;1;A;1,53;4;6,5;1,9;2
310;England;England Premiere League;2022/04/16;Man United;Norwich;3;2;H;1,25;6,5;10;1,5;2,62
314;England;England Premiere League;2022/04/17;West Ham;Burnley;1;1;D;1,7;3,8;5;1,95;1,95
313;England;England Premiere League;2022/04/17;Newcastle;Leicester;2;1;H;2,2;3,4;3,3;1,99;1,91
315;England;England Premiere League;2022/04/19;Liverpool;Man United;4;0;H;1,4;5;7;1,5;2,62
319;England;England Premiere League;2022/04/20;Man City;Brighton;3;0;H;1,16;7;17;1,61;2,3
318;England;England Premiere League;2022/04/20;Newcastle;Crystal Palace;1;0;H;2,25;3,4;3,25;2,2;1,66
317;England;England Premiere League;2022/04/20;Everton;Leicester;1;1;D;2,25;3,4;3,25;1,92;1,98
316;England;England Premiere League;2022/04/20;Chelsea;Arsenal;2;4;A;1,83;3,6;4,33;2,1;1,8
320;England;England Premiere League;2022/04/21;Burnley;Southampton;2;0;H;2,75;3,25;2,62;1,98;1,92
322;England;England Premiere League;2022/04/23;Leicester;Aston Villa;0;0;D;2,8;3,4;2,5;1,85;2,05
323;England;England Premiere League;2022/04/23;Man City;Watford;5;1;H;1,1;10;26;1,36;3,2
324;England;England Premiere League;2022/04/23;Norwich;Newcastle;0;3;A;3,5;3,3;2,15;1,98;1,92
321;England;England Premiere League;2022/04/23;Arsenal;Man United;3;1;H;2,05;3,5;3,5;1,81;2,09
325;England;England Premiere League;2022/04/23;Brentford;Tottenham;0;0;D;4,33;3,5;1,85;1,89;2,01
327;England;England Premiere League;2022/04/24;Burnley;Wolves;1;0;H;2,7;3;2,87;2,37;1,57
328;England;England Premiere League;2022/04/24;Chelsea;West Ham;1;0;H;1,5;4,33;6,5;1,83;2,07
326;England;England Premiere League;2022/04/24;Brighton;Southampton;2;2;D;2,1;3,4;3,6;2,02;1,88
329;England;England Premiere League;2022/04/24;Liverpool;Everton;2;0;H;1,18;7;15;1,44;2,75
330;England;England Premiere League;2022/04/25;Crystal Palace;Leeds;0;0;D;2,05;3,5;3,5;1,88;2,02
331;England;England Premiere League;2022/04/28;Man United;Chelsea;1;1;D;3,2;3,4;2,25;1,86;2,04
333;England;England Premiere League;2022/04/30;Aston Villa;Norwich;2;0;H;1,4;4,5;9;1,66;2,2
332;England;England Premiere League;2022/04/30;Newcastle;Liverpool;0;1;A;8,5;5;1,36;1,66;2,2
334;England;England Premiere League;2022/04/30;Southampton;Crystal Palace;1;2;A;2,4;3,3;3,1;2,03;1,87
336;England;England Premiere League;2022/04/30;Wolves;Brighton;0;3;A;2,7;3,2;2,75;2,5;1,53
335;England;England Premiere League;2022/04/30;Watford;Burnley;1;2;A;2,6;3,3;2,75;2,1;1,72
337;England;England Premiere League;2022/04/30;Leeds;Man City;0;4;A;8,5;6;1,3;1,5;2,62
214;England;England Premiere League;2022/05/02;Burnley;Watford;0;0;D;2,2;3,25;3,5;2,1;1,72
259;England;England Premiere League;2022/05/03;Burnley;Chelsea;0;4;A;6,5;4,33;1,5;2,1;1,72
258;England;England Premiere League;2022/05/03;Aston Villa;Southampton;4;0;H;2,3;3,5;3;1,86;2,04
260;England;England Premiere League;2022/05/03;Newcastle;Brighton;2;1;H;2,75;3,2;2,62;2,3;1,61
261;England;England Premiere League;2022/05/03;Norwich;Brentford;1;3;A;2,9;3,1;2,5;2,3;1,61
257;England;England Premiere League;2022/05/03;Leicester;Leeds;1;0;H;1,75;4;4,2;1,53;2,5
263;England;England Premiere League;2022/05/03;Liverpool;West Ham;1;0;H;1,28;5,75;9,5;1,5;2,62
262;England;England Premiere League;2022/05/03;Wolves;Crystal Palace;0;2;A;2,3;3,1;3,4;2,62;1,5
0;England;England Premiere League;2022/05/08;Crystal Palace;Arsenal;0;2;A;4,2;3,6;1,85;2,1;1,72
126;England;England Premiere League;2022/05/11;Leeds;Bournemouth;4;3;H;1,72;3,8;4,75;1,8;2
127;England;England Premiere League;2022/05/11;Man City;Fulham;2;1;H;1,11;9,5;19;1,28;3,75
128;England;England Premiere League;2022/05/11;Nott'm Forest;Brentford;2;2;D;2,75;3,3;2,6;2,03;1,87
129;England;England Premiere League;2022/05/11;Wolves;Brighton;2;3;A;3,3;3,3;2,25;2,1;1,72
130;England;England Premiere League;2022/05/11;Everton;Leicester;0;2;A;2,4;3,3;3;2;1,8
360;England;England Premiere League;2022/05/15;Leeds;Brighton;1;1;D;2,62;3,5;2,62;1,84;2,06
361;England;England Premiere League;2022/05/15;Watford;Leicester;1;5;A;3,8;3,5;1,95;1,72;2,1
362;England;England Premiere League;2022/05/15;West Ham;Man City;2;2;D;7,5;5;1,4;1,53;2,5
363;England;England Premiere League;2022/05/15;Wolves;Norwich;1;1;D;1,45;4,75;6,5;1,86;2,04
364;England;England Premiere League;2022/05/15;Everton;Brentford;2;3;A;2,05;3,6;3,5;2,03;1,87
359;England;England Premiere League;2022/05/15;Aston Villa;Crystal Palace;1;1;D;2;3,5;3,75;1,93;1,97
358;England;England Premiere League;2022/05/15;Tottenham;Burnley;1;0;H;1,33;5,25;9;1,57;2,37
365;England;England Premiere League;2022/05/16;Newcastle;Arsenal;2;0;H;4,33;3,6;1,83;1,9;2
366;England;England Premiere League;2022/05/17;Southampton;Liverpool;1;2;A;7,5;5,5;1,33;1,44;2,75
368;England;England Premiere League;2022/05/19;Aston Villa;Burnley;1;1;D;2,05;3,5;3,6;1,99;1,91
367;England;England Premiere League;2022/05/19;Everton;Crystal Palace;3;2;H;1,9;3,4;4,33;2;1,8
369;England;England Premiere League;2022/05/19;Chelsea;Leicester;1;1;D;1,4;4,75;8;1,61;2,3
370;England;England Premiere League;2022/05/22;Arsenal;Everton;5;1;H;1,36;4,75;9;1,57;2,37
371;England;England Premiere League;2022/05/22;Brentford;Leeds;1;2;A;2,45;3,8;2,62;1,57;2,37
372;England;England Premiere League;2022/05/22;Brighton;West Ham;3;1;H;2,37;3,5;2,9;1,72;2,1
373;England;England Premiere League;2022/05/22;Burnley;Newcastle;1;2;A;2,25;3,4;3,2;1,94;1,96
374;England;England Premiere League;2022/05/22;Chelsea;Watford;2;1;H;1,18;7,5;15;1,44;2,75
375;England;England Premiere League;2022/05/22;Crystal Palace;Man United;1;0;H;3;3,6;2,25;1,72;2,1
376;England;England Premiere League;2022/05/22;Leicester;Southampton;4;1;H;1,85;4;3,8;1,57;2,37
377;England;England Premiere League;2022/05/22;Liverpool;Wolves;3;1;H;1,14;8,5;15;1,44;2,75
378;England;England Premiere League;2022/05/22;Man City;Aston Villa;3;2;H;1,16;8;17;1,44;2,75
379;England;England Premiere League;2022/05/22;Norwich;Tottenham;0;5;A;9,5;6,5;1,25;1,44;2,75
264;England;England Premiere League;2022/06/03;Watford;Arsenal;2;3;A;6;4;1,57;2,05;1,85
265;England;England Premiere League;2022/06/03;Man City;Man United;4;1;H;1,4;4,75;7,5;1,61;2,3
298;England;England Premiere League;2022/06/04;Burnley;Everton;3;2;H;2,62;3,1;2,87;2,2;1,66
3;England;England Premiere League;2022/06/08;Leeds;Wolves;2;1;H;2,25;3,4;3,2;2,05;1,85
2;England;England Premiere League;2022/06/08;Bournemouth;Aston Villa;2;0;H;3,75;3,5;2;2;1,8
1;England;England Premiere League;2022/06/08;Fulham;Liverpool;2;2;D;11;6;1,25;1,5;2,62
6;England;England Premiere League;2022/06/08;Everton;Chelsea;0;1;A;5,5;4;1,61;2,02;1,88
4;England;England Premiere League;2022/06/08;Newcastle;Nott'm Forest;2;0;H;1,66;3,8;5,25;2,05;1,85
5;England;England Premiere League;2022/06/08;Tottenham;Southampton;4;1;H;1,33;5,5;8,5;1,61;2,3
135;England;England Premiere League;2022/06/11;Tottenham;Liverpool;1;2;A;3,3;3,6;2,1;1,66;2,2
134;England;England Premiere League;2022/06/11;West Ham;Crystal Palace;1;2;A;1,9;3,4;4,2;2,1;1,72
133;England;England Premiere League;2022/06/11;Southampton;Newcastle;1;4;A;4;3,6;1,9;1,95;1,95
132;England;England Premiere League;2022/06/11;Aston Villa;Man United;3;1;H;3,3;3,8;2,1;1,94;1,96
131;England;England Premiere League;2022/06/11;Chelsea;Arsenal;0;1;A;2,55;3,4;2,7;1,93;1,97
266;England;England Premiere League;2022/07/03;Tottenham;Everton;5;0;H;1,57;3,8;5,75;1,72;2,1
347;England;England Premiere League;2022/07/05;Liverpool;Tottenham;1;1;D;1,4;5;7;1,53;2,5
346;England;England Premiere League;2022/07/05;Brighton;Man United;4;0;H;2,8;3,5;2,45;1,95;1,95
345;England;England Premiere League;2022/07/05;Crystal Palace;Watford;1;0;H;1,65;4;5;1,99;1,91
344;England;England Premiere League;2022/07/05;Chelsea;Wolves;2;2;D;1,33;5;9,5;1,93;1,97
343;England;England Premiere League;2022/07/05;Burnley;Aston Villa;1;3;A;3;3,3;2,4;2,07;1,83
342;England;England Premiere League;2022/07/05;Brentford;Southampton;3;0;H;2,15;3,5;3,3;1,95;1,95
7;England;England Premiere League;2022/07/08;Leicester;Brentford;2;2;D;2;3,75;3,5;1,72;2,1
8;England;England Premiere League;2022/07/08;Man United;Brighton;1;2;A;1,6;4,2;5,25;1,92;1,98
9;England;England Premiere League;2022/07/08;West Ham;Man City;0;2;A;8;5;1,36;1,53;2,5
216;England;England Premiere League;2022/08/02;West Ham;Watford;1;0;H;1,55;4,2;5,75;1,72;2,1
217;England;England Premiere League;2022/08/02;Burnley;Man United;1;1;D;5,5;4;1,61;1,85;2,05
215;England;England Premiere League;2022/08/02;Newcastle;Everton;3;1;H;2,5;3,25;2,87;1,91;1,99
299;England;England Premiere League;2022/08/04;Newcastle;Wolves;1;0;H;2,25;3,1;3,4;2,37;1,57
351;England;England Premiere League;2022/08/05;Man City;Newcastle;5;0;H;1,16;7;17;1,5;2,62
348;England;England Premiere League;2022/08/05;Arsenal;Leeds;2;1;H;1,45;4,5;7;1,61;2,3
350;England;England Premiere League;2022/08/05;Norwich;West Ham;0;4;A;4,5;3,8;1,75;1,85;2,05
349;England;England Premiere League;2022/08/05;Leicester;Everton;1;2;A;2,6;3,3;2,75;2,01;1,89
80;England;England Premiere League;2022/08/10;Newcastle;Brentford;5;1;H;1,83;3,8;4,2;1,72;2,1
78;England;England Premiere League;2022/08/10;Chelsea;Wolves;3;0;H;1,4;4,5;8;1,87;2,03
77;England;England Premiere League;2022/08/10;Bournemouth;Leicester;2;1;H;3,6;3,4;2,05;1,8;2
79;England;England Premiere League;2022/08/10;Man City;Southampton;4;0;H;1,11;10;17;1,25;4
81;England;England Premiere League;2022/08/10;Brighton;Tottenham;0;1;A;2,8;3,4;2,5;1,88;2,02
10;England;England Premiere League;2022/08/13;Aston Villa;Everton;2;1;H;1,8;3,5;4,75;2,1;1,72
11;England;England Premiere League;2022/08/13;Arsenal;Leicester;4;2;H;1,53;4,33;5,75;1,66;2,2
12;England;England Premiere League;2022/08/13;Brighton;Newcastle;0;0;D;2,45;3,2;3;2,1;1,72
13;England;England Premiere League;2022/08/13;Man City;Bournemouth;4;0;H;1,06;13;29;1,33;3,4
14;England;England Premiere League;2022/08/13;Southampton;Leeds;2;2;D;2,25;3,5;3,1;1,72;2,1
15;England;England Premiere League;2022/08/13;Wolves;Fulham;0;0;D;2,3;3,3;3,2;2,1;1,72
16;England;England Premiere League;2022/08/13;Brentford;Man United;4;0;H;3,75;3,5;2;1,8;2
17;England;England Premiere League;2022/08/14;Nott'm Forest;West Ham;1;0;H;4,2;3,6;1,85;1,92;1,98
18;England;England Premiere League;2022/08/14;Chelsea;Tottenham;2;2;D;2,25;3,4;3,2;1,98;1,92
19;England;England Premiere League;2022/08/15;Liverpool;Crystal Palace;1;1;D;1,18;6,75;16;1,57;2,37
21;England;England Premiere League;2022/08/20;Crystal Palace;Aston Villa;3;1;H;2,5;3,25;2,9;2,2;1,66
22;England;England Premiere League;2022/08/20;Everton;Nott'm Forest;1;1;D;1,9;3,6;4;2,1;1,72
23;England;England Premiere League;2022/08/20;Fulham;Brentford;3;2;H;2,45;3,4;2,9;1,96;1,94
24;England;England Premiere League;2022/08/20;Leicester;Southampton;1;2;A;1,83;4;4;1,61;2,3
25;England;England Premiere League;2022/08/20;Bournemouth;Arsenal;0;3;A;8;4,75;1,4;1,72;2,1
20;England;England Premiere League;2022/08/20;Tottenham;Wolves;1;0;H;1,4;4,75;7,5;1,72;2,1
28;England;England Premiere League;2022/08/21;Newcastle;Man City;3;3;D;7,5;5;1,36;1,66;2,2
26;England;England Premiere League;2022/08/21;Leeds;Chelsea;3;0;H;5,75;4,5;1,53;1,66;2,2
27;England;England Premiere League;2022/08/21;West Ham;Brighton;0;2;A;2,3;3,4;3,1;1,99;1,91
29;England;England Premiere League;2022/08/22;Man United;Liverpool;2;1;H;5,25;4,33;1,6;1,5;2,62
36;England;England Premiere League;2022/08/27;Arsenal;Fulham;2;1;H;1,3;5,75;9;1,5;2,62
35;England;England Premiere League;2022/08/27;Man City;Crystal Palace;4;2;H;1,18;7,5;13;1,44;2,75
34;England;England Premiere League;2022/08/27;Liverpool;Bournemouth;9;0;H;1,1;10;26;1,36;3,2
33;England;England Premiere League;2022/08/27;Chelsea;Leicester;2;1;H;1,4;5;7;1,61;2,3
32;England;England Premiere League;2022/08/27;Brighton;Leeds;1;0;H;1,9;3,8;3,8;1,88;2,02
31;England;England Premiere League;2022/08/27;Brentford;Everton;1;1;D;2;3,5;3,75;2,06;1,84
30;England;England Premiere League;2022/08/27;Southampton;Man United;0;1;A;4,2;4;1,8;1,57;2,37
38;England;England Premiere League;2022/08/28;Wolves;Newcastle;1;1;D;2,7;3,3;2,7;2,1;1,72
39;England;England Premiere League;2022/08/28;Nott'm Forest;Tottenham;0;2;A;7;4,6;1,44;1,72;2,1
37;England;England Premiere League;2022/08/28;Aston Villa;West Ham;0;1;A;2,3;3,4;3,1;1,91;1,99
40;England;England Premiere League;2022/08/30;Crystal Palace;Brentford;1;1;D;2,05;3,4;3,6;2,1;1,72
41;England;England Premiere League;2022/08/30;Fulham;Brighton;2;1;H;3,1;3,3;2,3;2,01;1,89
42;England;England Premiere League;2022/08/30;Southampton;Chelsea;2;1;H;5,25;4;1,61;1,72;2,1
43;England;England Premiere League;2022/08/30;Leeds;Everton;1;1;D;2,15;3,5;3,3;1,87;2,03
48;England;England Premiere League;2022/08/31;Liverpool;Newcastle;2;1;H;1,33;5,25;9;1,5;2,62
47;England;England Premiere League;2022/08/31;West Ham;Tottenham;1;1;D;3,6;3,8;1,95;1,72;2,1
45;England;England Premiere League;2022/08/31;Bournemouth;Wolves;0;0;D;3,5;3,3;2,15;2,1;1,72
44;England;England Premiere League;2022/08/31;Arsenal;Aston Villa;2;1;H;1,45;4,5;6;1,72;2,1
46;England;England Premiere League;2022/08/31;Man City;Nott'm Forest;6;0;H;1,06;13;29;1,22;4,33
220;England;England Premiere League;2022/09/02;Tottenham;Southampton;2;3;A;1,6;4;5,5;1,8;2
218;England;England Premiere League;2022/09/02;Man City;Brentford;2;0;H;1,1;9,5;23;1,36;3,2
219;England;England Premiere League;2022/09/02;Norwich;Crystal Palace;1;1;D;3,5;3,25;2,15;2,1;1,72
221;England;England Premiere League;2022/09/02;Aston Villa;Leeds;3;3;D;1,8;3,8;4,2;1,72;2,1
304;England;England Premiere League;2022/09/04;Aston Villa;Tottenham;0;4;A;3,2;3,4;2,25;1,86;2,04
302;England;England Premiere League;2022/09/04;Southampton;Chelsea;0;6;A;3,8;3,6;1,95;1,95;1,95
301;England;England Premiere League;2022/09/04;Arsenal;Brighton;1;2;A;1,61;3,8;5,75;2,04;1,86
300;England;England Premiere League;2022/09/04;Everton;Man United;1;0;H;4,6;3,75;1,75;1,85;2,05
303;England;England Premiere League;2022/09/04;Watford;Leeds;0;3;A;2,7;3,4;2,55;1,72;2,1
82;England;England Premiere League;2022/09/10;Crystal Palace;Leeds;2;1;H;2,05;3,5;3,6;1,86;2,04
83;England;England Premiere League;2022/09/10;West Ham;Fulham;3;1;H;1,72;3,8;4,75;1,8;2
84;England;England Premiere League;2022/09/10;Arsenal;Liverpool;3;2;H;2,5;3,6;2,62;1,57;2,37
85;England;England Premiere League;2022/09/10;Everton;Man United;1;2;A;3,6;3,5;2,05;1,88;2,02
60;England;England Premiere League;2022/09/16;Aston Villa;Southampton;1;0;H;2,1;3,5;3,5;1,88;2,02
61;England;England Premiere League;2022/09/16;Nott'm Forest;Fulham;2;3;A;2,75;3,3;2,62;1,93;1,97
63;England;England Premiere League;2022/09/17;Newcastle;Bournemouth;1;1;D;1,44;4,4;7,5;1,87;2,03
64;England;England Premiere League;2022/09/17;Tottenham;Leicester;6;2;H;1,45;4,5;7;1,57;2,37
62;England;England Premiere League;2022/09/17;Wolves;Man City;0;3;A;9,5;5;1,33;1,57;2,37
66;England;England Premiere League;2022/09/18;Everton;West Ham;1;0;H;2,9;3,25;2,5;2,06;1,84
65;England;England Premiere League;2022/09/18;Brentford;Arsenal;0;3;A;4,2;3,8;1,8;1,66;2,2
223;England;England Premiere League;2022/10/02;Wolves;Arsenal;0;1;A;3,5;3,2;2,2;2,3;1,61
222;England;England Premiere League;2022/10/02;Liverpool;Leicester;2;0;H;1,25;6,5;10;1,33;3,4
269;England;England Premiere League;2022/10/03;Wolves;Watford;4;0;H;1,75;3,6;4,5;2,3;1,61
268;England;England Premiere League;2022/10/03;Southampton;Newcastle;1;2;A;2;3,75;3,5;1,8;2
267;England;England Premiere League;2022/10/03;Norwich;Chelsea;1;3;A;11;4,75;1,3;1,72;2,1
270;England;England Premiere League;2022/10/03;Leeds;Aston Villa;0;3;A;2,7;3,5;2,5;1,72;2,1
305;England;England Premiere League;2022/10/04;Brentford;West Ham;2;0;H;2,62;3,3;2,62;2,1;1,72
306;England;England Premiere League;2022/10/04;Leicester;Crystal Palace;2;1;H;2,37;3,3;2,9;1,99;1,91
307;England;England Premiere League;2022/10/04;Norwich;Burnley;2;0;H;2,87;3,2;2,55;2,3;1,61
308;England;England Premiere League;2022/10/04;Man City;Liverpool;2;2;D;2;3,75;3,5;1,72;2,1
352;England;England Premiere League;2022/10/05;Aston Villa;Liverpool;1;2;A;7,5;4,75;1,4;1,61;2,3
86;England;England Premiere League;2022/10/10;Nott'm Forest;Aston Villa;1;1;D;3,3;3,4;2,2;2,03;1,87
87;England;England Premiere League;2022/10/14;Brentford;Brighton;2;0;H;3,1;3,4;2,3;1,97;1,93
89;England;England Premiere League;2022/10/15;Fulham;Bournemouth;2;2;D;1,85;3,75;4;1,96;1,94
91;England;England Premiere League;2022/10/15;Tottenham;Everton;2;0;H;1,5;4,5;6,5;1,72;2,1
88;England;England Premiere League;2022/10/15;Leicester;Crystal Palace;0;0;D;2,3;3,4;3,1;1,89;2,01
90;England;England Premiere League;2022/10/15;Wolves;Nott'm Forest;1;0;H;1,7;3,75;5;2,06;1,84
95;England;England Premiere League;2022/10/16;Southampton;West Ham;1;1;D;2,9;3,4;2,4;2;1,9
96;England;England Premiere League;2022/10/16;Liverpool;Man City;1;0;H;3,6;4;1,9;1,44;2,75
92;England;England Premiere League;2022/10/16;Aston Villa;Chelsea;0;2;A;4,33;3,75;1,8;2,03;1,87
94;England;England Premiere League;2022/10/16;Man United;Newcastle;0;0;D;1,95;3,8;3,5;1,72;2,1
93;England;England Premiere League;2022/10/16;Leeds;Arsenal;0;1;A;6;4,2;1,55;1,61;2,3
97;England;England Premiere League;2022/10/18;Brighton;Nott'm Forest;0;0;D;1,4;4,75;7;1,72;2,1
98;England;England Premiere League;2022/10/18;Crystal Palace;Wolves;2;1;H;2,25;3,1;3,4;2,5;1,53
103;England;England Premiere League;2022/10/19;Man United;Tottenham;2;0;H;2,45;3,5;2,75;1,72;2,1
99;England;England Premiere League;2022/10/19;Bournemouth;Southampton;0;1;A;2,62;3,3;2,62;2;1,8
100;England;England Premiere League;2022/10/19;Brentford;Chelsea;0;0;D;4,75;3,8;1,72;1,88;2,02
101;England;England Premiere League;2022/10/19;Liverpool;West Ham;1;0;H;1,4;5;7;1,5;2,62
102;England;England Premiere League;2022/10/19;Newcastle;Everton;1;0;H;1,6;3,8;5,75;1,92;1,98
105;England;England Premiere League;2022/10/20;Leicester;Leeds;2;0;H;2,25;3,6;3;1,72;2,1
104;England;England Premiere League;2022/10/20;Fulham;Aston Villa;3;0;H;2,9;3,3;2,5;2;1,9
109;England;England Premiere League;2022/10/22;Chelsea;Man United;1;1;D;2,05;3,5;3,5;1,91;1,99
108;England;England Premiere League;2022/10/22;Man City;Brighton;3;1;H;1,2;7;13;1,44;2,75
107;England;England Premiere League;2022/10/22;Everton;Crystal Palace;3;0;H;2,6;3,2;2,87;2,2;1,66
106;England;England Premiere League;2022/10/22;Nott'm Forest;Liverpool;1;0;H;11;6;1,25;1,5;2,62
110;England;England Premiere League;2022/10/23;Aston Villa;Brentford;4;0;H;2,1;3,5;3,5;1,94;1,96
111;England;England Premiere League;2022/10/23;Leeds;Fulham;2;3;A;2,05;3,5;3,6;1,72;2,1
112;England;England Premiere League;2022/10/23;Southampton;Arsenal;1;1;D;6;4;1,57;1,66;2,2
113;England;England Premiere League;2022/10/23;Wolves;Leicester;0;4;A;2,25;3,25;3,25;2;1,9
114;England;England Premiere League;2022/10/23;Tottenham;Newcastle;1;2;A;2,05;3,5;3,5;1,92;1,98
115;England;England Premiere League;2022/10/24;West Ham;Bournemouth;2;0;H;1,55;4;6;2,01;1,89
116;England;England Premiere League;2022/10/29;Leicester;Man City;0;1;A;10;6,5;1,25;1,44;2,75
117;England;England Premiere League;2022/10/29;Bournemouth;Tottenham;2;3;A;5;3,8;1,7;1,96;1,94
118;England;England Premiere League;2022/10/29;Brentford;Wolves;1;1;D;2,2;3,4;3,3;2,01;1,89
119;England;England Premiere League;2022/10/29;Brighton;Chelsea;4;1;H;3;3,3;2,4;2,1;1,72
121;England;England Premiere League;2022/10/29;Newcastle;Aston Villa;4;0;H;1,8;3,75;4,5;1,94;1,96
123;England;England Premiere League;2022/10/29;Liverpool;Leeds;1;2;A;1,3;6;9;1,36;3,2
122;England;England Premiere League;2022/10/29;Fulham;Everton;0;0;D;2,37;3,4;3;1,87;2,03
120;England;England Premiere League;2022/10/29;Crystal Palace;Southampton;1;0;H;1,9;3,6;4;2,06;1,84
125;England;England Premiere League;2022/10/30;Man United;West Ham;1;0;H;1,66;4;4,8;1,86;2,04
124;England;England Premiere League;2022/10/30;Arsenal;Nott'm Forest;5;0;H;1,2;7;12;1,5;2,62
191;England;England Premiere League;2022/11/01;Southampton;Brentford;4;1;H;2,05;3,4;3,6;2,06;1,84
354;England;England Premiere League;2022/11/05;Leicester;Norwich;3;0;H;1,44;4,75;7;1,61;2,3
355;England;England Premiere League;2022/11/05;Watford;Everton;0;0;D;4,2;3,6;1,83;1,94;1,96
353;England;England Premiere League;2022/11/05;Leeds;Chelsea;0;3;A;4,75;4,2;1,65;1,61;2,3
356;England;England Premiere League;2022/11/05;Wolves;Man City;1;5;A;11;6;1,25;1,66;2,2
145;England;England Premiere League;2022/11/13;Fulham;Man United;1;2;A;3,8;3,8;1,9;1,61;2,3
144;England;England Premiere League;2022/11/13;Brighton;Aston Villa;1;2;A;1,83;3,75;4,2;1,96;1,94
192;England;England Premiere League;2022/12/01;West Ham;Norwich;2;0;H;1,28;5,5;10;1,66;2,2
